City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,81.1,-21.3585,55.7679,Le four à pain
9,Atuona,PF,76.23,-9.8,-139.0333,Villa Enata
13,Vaini,TO,77.16,-21.2,-175.2,Keleti Beach Resort
14,Vanimo,PG,79.34,-2.6741,141.3028,Vahmoneh Lodge Vanimo
16,Luganville,VU,79.09,-15.5333,167.1667,The Espiritu Hotel
20,Bairiki,KI,82.4,1.3292,172.9752,Tarawa Boutique Hotel
30,Kloulklubed,PW,81.1,7.0419,134.2556,Storyboard Beach Resort
31,New Norfolk,AU,75.92,-42.7826,147.0587,The Shingles Riverside Cottages
35,Poum,NC,76.39,-20.2333,164.0167,
37,Bandiagara,ML,85.33,14.3501,-3.6104,Hotel de la Falaise
38,Wum,CM,77.49,6.3833,10.0667,Wum Council Hall
46,Georgetown,MY,80.53,5.4112,100.3354,Cititel Penang
47,Kilindoni,TZ,79.56,-7.9139,39.6668,Bustani B&B
58,Xuddur,SO,87.85,4.1213,43.8894,Banjanay Hotel
59,Rafai,CF,85.71,4.95,23.9167,
62,Hobart,AU,76.26,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
74,George Town,MY,80.53,5.4112,100.3354,Cititel Penang
76,Kapaa,US,75.52,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Tamandare,BR,76.55,-8.7597,-35.1047,Pousada 100 Passos
82,Cape Town,ZA,78.12,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
88,Souillac,MU,80.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
89,Alofi,NU,76.89,-19.0595,-169.9187,Taloa Heights
94,Gigmoto,PH,81.54,13.7796,124.39,Cj's Travellers Inn
106,Maine-Soroa,NE,87.89,13.2114,12.0241,Complexe
111,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
113,Puerto Escondido,MX,76.1,15.85,-97.0667,Aldea del Bazar Hotel and Spa
115,Kununurra,AU,84.18,-15.7667,128.7333,Hotel Kununurra
122,Phulabani,IN,78.73,20.4667,84.2333,Hotel Royal Plaza
124,Butaritari,KI,81.95,3.0707,172.7902,Isles Sunset Lodge
127,Champerico,GT,75.07,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
131,Bambous Virieux,MU,81.21,-20.3428,57.7575,Casa Tia Villa
132,Bengkulu,ID,77.76,-3.8004,102.2655,Grage Hotel Bengkulu
136,Dafeng,CN,83.03,23.4517,108.5881,Shenglong Hotel
137,Qeshm,IR,87.67,26.9581,56.2719,Qeshm Kavan Hotel
156,Makakilo City,US,75.56,21.3469,-158.0858,Marriott's Ko Olina Beach Club
157,Panzhihua,CN,75.69,26.5851,101.7128,Electric Power Hotel
158,Praya,CV,75.74,14.9215,-23.5087,LT Aparthotel
163,Hoopstad,ZA,82.42,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
165,Guanica,PR,76.05,17.9716,-66.908,Copamarina Beach Resort & Spa
170,Takoradi,GH,82.11,4.8845,-1.7554,Raybow International Hotel
172,Ca Mau,VN,83.8,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
173,Goundam,ML,81.88,16.4145,-3.6708,
176,Salalah,OM,87.89,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
180,Hithadhoo,MV,81.82,-0.6,73.0833,Scoop Guest House
183,Fontem,CM,77.4,5.4685,9.8818,Vista Palace Hotel
185,Faanui,PF,79.52,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
186,Ghugus,IN,84.72,19.9333,79.1333,Rajiv Colony Tempo Club
187,Brokopondo,SR,75.15,4.75,-55.1667,Matu Island
188,Itarema,BR,79.25,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
196,Mumford,GH,81.43,5.2618,-0.759,Peace Guest House
200,Yei,SS,75.52,4.095,30.6779,Twins Hotel Yei
201,Kavaratti,IN,83.28,10.5669,72.642,Green leaf
202,Una,IN,88.84,20.8167,71.0333,Hotel Harbhole
204,Olinda,BR,76.73,-8.0089,-34.8553,Flat Quatro Rodas Olinda
205,Bandarbeyla,SO,82.87,9.4942,50.8122,JABIR HOTEL
208,Sola,VU,81.45,-13.8833,167.55,Leumerus Bungalows
212,Micheweni,TZ,83.39,-4.9667,39.8333,
217,Manyoni,TZ,84.74,-5.7467,34.8382,bm lodge bm lodge
219,Port Hedland,AU,80.65,-20.3167,118.5667,The Esplanade Hotel
225,Butterworth,MY,80.64,5.3991,100.3638,Cititel Penang
226,Karwar,IN,87.75,14.8,74.1333,Netalco Connects
228,Touros,BR,79.02,-5.1989,-35.4608,INN NEW HORIZON
231,Umm Lajj,SA,80.15,25.0213,37.2685,Moon light Furnished Units
232,Cap Malheureux,MU,81.46,-19.9842,57.6142,Pereybere Hotel & Spa
235,Taungdwingyi,MM,87.71,20.0167,95.55,NayNaing MobileService
236,Yenagoa,NG,84.13,4.9247,6.2642,Aridolf Resort Wellness and Spa
247,Kuching,MY,80.22,1.55,110.3333,Hilton Kuching
249,Muncar,ID,81.72,-8.4333,114.3333,Zaky Homestay
254,Saint-Joseph,RE,79.18,-21.3667,55.6167,"""Plantation Bed and Breakfast"
260,Kongoussi,BF,85.48,13.3258,-1.5347,Hôtel La Sagesse
279,Parakou,BJ,85.19,9.3372,2.6303,Benin Metropole Hotel
283,Port Blair,IN,83.35,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
286,Nioro,GM,79.34,13.35,-15.75,
289,Hambantota,LK,84.54,6.1241,81.1185,Bungalow 63
310,Shaoyang,CN,84.15,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
311,Sinnamary,GF,76.93,5.3833,-52.95,ALETHEIA Appartement Sinnamary
314,Umm Kaddadah,SD,82.04,13.6017,26.6876,
316,Saldanha,ZA,75.25,-33.0117,17.9442,Blue Bay Lodge
320,Ewa Beach,US,76.98,21.3156,-158.0072,Base Lodging
322,Bulawayo,ZW,83.3,-20.15,28.5833,4 On Housman Backpackers
324,Maun,BW,87.76,-19.9833,23.4167,Enviro Villa
329,Dodoma,TZ,85.41,-6.1722,35.7395,Royal Village Hotel
332,Gulabpura,IN,86.09,25.9,74.6667,Hotel N chandra
333,Chizhou,CN,77.07,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
337,Banfora,BF,83.88,10.6333,-4.7667,Residences David Hebié
345,Victoria,HK,83.17,22.2855,114.1577,Mini Central
348,Careiro Da Varzea,BR,83.01,-3.2003,-59.8119,POUSADA DA ALDENORA
352,Lorengau,PG,82.15,-2.0226,147.2712,Lorengau Harbourside Hotel
356,Emerald,AU,76.33,-23.5333,148.1667,Emerald Inn
360,Nabire,ID,79.39,-3.3667,135.4833,Hotel Nusantara I
367,Kalabo,ZM,84.25,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
369,Oussouye,SN,77.09,12.485,-16.5469,Auberge du Routard
372,Sao Filipe,CV,77.5,14.8961,-24.4956,Hotel Xaguate
376,Utraula,IN,83.12,27.3167,82.4167,Taj Hotel and Lodge
377,Thinadhoo,MV,82.26,0.5333,72.9333,
383,Dingle,PH,80.46,10.9995,122.6711,SEGAYA PROPERTY
384,Muli,MV,80.67,2.9167,73.5667,Medhufushi Island Resort
389,Mahebourg,MU,81.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
392,Dawei,MM,86.86,14.0833,98.2,Hotel Dawei
401,Nhulunbuy,AU,81.21,-12.2333,136.7667,East Arnhem Real Estate
404,Meulaboh,ID,81.63,4.1363,96.1285,Kost Pria
407,Lagos,NG,80.92,6.5833,3.75,
409,Kasongo-Lunda,CD,75.18,-6.4667,16.8167,
413,Mount Isa,AU,80.37,-20.7333,139.5,ibis Styles Mt Isa Verona
415,San Policarpo,PH,82.17,12.1791,125.5072,Agapita M. Nicart
416,Labuhan,ID,84.42,-6.8844,112.2051,DoubleFAG
417,Tura,IN,75.99,25.5198,90.2201,Hotel RIKMAN Continental
420,Harper,LR,80.11,4.375,-7.7169,Screensaver
426,Karaton,ID,77.18,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
433,Yambio,SS,80.33,4.5721,28.3955,Naivasha Hotel
435,Petatlan,MX,76.21,17.5167,-101.2667,Hotel California Petatlán
436,Kudahuvadhoo,MV,80.15,2.6708,72.8944,Niyama Private Islands Maldives
443,Puerto Suarez,BO,75.6,-18.95,-57.8,Hotel casa real
445,Hwange,ZW,85.66,-18.3693,26.5019,Hwange Colliery Guest House
451,Luorong,CN,84.24,24.4058,109.6086,荣立大酒店
454,Bertoua,CM,83.03,4.5833,13.6833,Hotel De Paris
459,Bubaque,GW,82.0,11.2833,-15.8333,"Casa Dora, Bubaque"
464,Pemangkat,ID,83.23,1.1667,108.9667,Hotel Duyung Permai 2
465,Yaan,NG,85.59,7.3833,8.5667,
467,Odienne,CI,78.3,9.51,-7.5692,Oustaz Vame DIAKITE
468,Araouane,ML,79.45,18.9048,-3.5265,
470,Baghdad,IQ,76.91,33.3406,44.4009,Baghdad Hotel
475,Ahero,KE,81.73,-0.1746,34.9163,Jesmic Hotel
477,Tezu,IN,79.43,27.9167,96.1667,Circuit House
478,Acapulco,MX,77.83,16.8634,-99.8901,HS Hotsson Smart Acapulco
479,Mkushi,ZM,79.54,-13.6202,29.3939,Mkushi Police Club
481,Katobu,ID,84.61,-4.9408,122.5276,La Ode Husein
482,Oistins,BB,80.69,13.0667,-59.5333,Butterfly Beach Hotel
485,Luwuk,ID,82.99,-0.9516,122.7875,Hotel Santika Luwuk
491,Galle,LK,81.19,6.0367,80.217,Amangalla
495,Chipinge,ZW,76.6,-20.1883,32.6236,Chipinge Breeze Lodge
502,Lianzhou,CN,82.35,24.7811,112.3825,Qingcheng Tourism Industry
503,Tautira,PF,76.71,-17.7333,-149.15,Pension Oaoa
504,Kavieng,PG,83.07,-2.5744,150.7967,Nusa Island Retreat
506,Samarai,PG,81.57,-10.6167,150.6667,Nuli Sapi
513,Along,IN,80.67,28.1667,94.7667,Hotel West
514,Isangel,VU,77.16,-19.55,169.2667,Tanna Lodge
515,Saint-Pierre,RE,80.28,-21.3393,55.4781,Alize Plage
518,Najran,SA,84.85,17.4924,44.1277,محمد هادي ال فطيح
521,Dzaoudzi,YT,85.89,-12.7887,45.2699,Le Rocher
526,Mogadishu,SO,85.87,2.0371,45.3438,Hotel Juba
529,Pyapon,MM,86.63,16.2833,95.6833,Aung Naing Thu Motel
530,Labuan,MY,84.56,5.2767,115.2417,Tiara Labuan Hotel
534,Axim,GH,82.27,4.8699,-2.2405,Axim Beach Resort And Spa
537,Dwarka,IN,86.29,22.2394,68.9678,Hotel Narayan Avezika Comfort
540,Sur,OM,85.32,22.5667,59.5289,Sur Plaza Hotel
541,Trairi,BR,79.9,-3.2778,-39.2689,janelas do mar
546,Porlamar,VE,78.89,10.958,-63.8491,Lidotel Hotel Boutique Margarita
548,Numaligarh,IN,79.39,26.6333,93.75,Mumai Hotel
550,Mega,ET,75.76,4.05,38.3,Amanuel Guest House
556,Kapit,MY,80.53,2.0167,112.9333,Hotel Meligai Kapit
561,Manggar,ID,83.73,-2.8833,108.2667,Guest Hotel
562,Bontang,ID,82.22,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
563,Bandrele,YT,85.75,-12.9067,45.1914,Les Baobabs
568,San Patricio,US,77.9,28.017,-97.5169,"Motel 6 Sinton, TX"
570,Boende,CD,81.86,-0.2167,20.8667,
571,Mbeya,TZ,76.3,-8.9,33.45,Leda Lodge
575,Nayudupeta,IN,81.48,13.9,79.9,Hotel Manju
580,Ambon,ID,86.14,-3.6954,128.1814,Swiss-Belhotel Ambon
586,Kokopo,PG,77.61,-4.352,152.2633,Kokopo Beach Bungalow Resort
592,Mahibadhoo,MV,80.8,3.7833,72.9667,Omadhoo Inn
601,Sampit,ID,79.66,-2.5333,112.95,Aquarius Boutique Hotel Sampit
602,Carutapera,BR,76.39,-1.195,-46.02,Lidera
603,Changzhou,CN,76.21,31.7833,119.9667,Gongyuan Hotel
615,Aborlan,PH,87.87,9.4352,118.5492,Kevina Transient House
619,Buchanan,LR,80.24,5.8808,-10.0467,Kamaneahn Hotel Inc
620,Manokwari,ID,80.76,-0.8667,134.0833,Swiss Belhotel Manokwari
625,Rameswaram,IN,81.41,9.2833,79.3,Daiwik Hotels Rameswaram
628,Kahului,US,76.84,20.8947,-156.47,Maui Seaside Hotel
629,Bosaso,SO,84.18,11.2842,49.1816,Red Sea Hotel
631,Buraydah,SA,79.25,26.326,43.975,Mövenpick Qassim
632,Adre,TD,85.08,13.4667,22.2,
641,Jacqueville,CI,81.12,5.2052,-4.4146,Hotel Le Martin Pecheur
642,Mbandaka,CD,76.66,0.0487,18.2603,Guest House Epervier
644,Cam Ranh,VN,84.16,11.9214,109.1591,OYO 598 Peony Hotel
645,Yola,NG,84.02,9.2,12.4833,Muna Hotel
646,Port Moresby,PG,81.82,-9.4431,147.1797,Lamana Hotel (Port Moresby)
647,Lunglei,IN,78.44,22.8833,92.7333,Hotel Elite
649,Grand Gaube,MU,81.37,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
659,Quatre Cocos,MU,81.09,-20.2078,57.7625,Sunrise Attitude Hotel
660,Pundaguitan,PH,83.75,6.3711,126.1689,Leonardo Family Beach House 1
685,Gondanglegi,ID,80.46,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
688,Sembakung,ID,81.81,3.8167,117.25,
