City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,-21.3585,55.7679,81.1,73,87,9.8
1,Puerto Cabezas,NI,14.0351,-83.3888,72.77,93,52,7.07
2,Beyneu,KZ,45.3167,55.2,46.47,50,44,8.25
3,Cidreira,BR,-30.1811,-50.2056,61.43,88,37,1.99
4,Shubarshi,KZ,48.5872,57.1869,38.44,60,98,5.35
5,San Carlos De Bariloche,AR,-41.1456,-71.3082,49.01,76,75,9.22
6,Tingo Maria,PE,-9.2895,-76.0088,65.89,97,63,1.83
7,Cabo San Lucas,MX,22.8909,-109.9124,74.52,68,40,5.01
8,Sal Rei,CV,16.1833,-22.9167,73.6,88,75,8.05
9,Atuona,PF,-9.8,-139.0333,76.23,79,98,14.63
10,Qaanaaq,GL,77.484,-69.3632,-9.51,66,92,5.86
11,Yamada,JP,39.4667,141.95,54.88,78,100,6.06
12,Port Alfred,ZA,-33.5906,26.891,64.18,76,100,1.99
13,Vaini,TO,-21.2,-175.2,77.16,94,75,8.05
14,Vanimo,PG,-2.6741,141.3028,79.34,89,100,8.52
15,Dikson,RU,73.5069,80.5464,2.98,93,100,27.58
16,Luganville,VU,-15.5333,167.1667,79.09,85,15,2.53
17,Jamestown,US,42.097,-79.2353,54.72,45,0,8.05
18,Barrow,US,71.2906,-156.7887,17.62,79,100,13.8
19,Port Elizabeth,ZA,-33.918,25.5701,65.1,63,100,12.66
20,Bairiki,KI,1.3292,172.9752,82.4,74,20,10.36
21,Selcuk,TR,37.9514,27.3685,64.02,22,0,4.76
22,Avarua,CK,-21.2078,-159.775,73.45,83,20,12.66
23,Mataura,NZ,-46.1927,168.8643,49.69,81,0,2.57
24,Punta Arenas,CL,-53.15,-70.9167,32.11,80,20,6.91
25,Saint George,US,37.1041,-113.5841,39.94,82,0,3.0
26,Danville,US,36.586,-79.395,52.18,73,100,6.91
27,Rikitea,PF,-23.1203,-134.9692,70.79,93,100,14.56
28,Nuevo Progreso,MX,23.1667,-97.95,70.54,91,28,3.67
